,1FCH_AB_23_C_2.pdb,3Q49_B_23_C_1.pdb,4N39_A_23_B_1.pdb,3CVP_A_23_B_1.pdb,4WNG_A_23_B_1.pdb,4N3B_A_23_B_1.pdb,3RO3_A_23_B_2.pdb,1FCH_AB_23_D_4.pdb,4N3A_A_23_B_2.pdb,2XCB_A_23_C_1.pdb,4AM9_A_23_B_2.pdb,4JL0_B_23_D_1.pdb,1ELR_A_23_B_2.pdb,1ELW_B_23_D_1.pdb,3CV0_A_23_B_2.pdb,4A1S_A_23_C_2.pdb,2XCB_A_23_C_2.pdb,3RO2_A_23_B_1.pdb,1ELR_A_23_B_1.pdb,4G2V_A_23_B_2.pdb,4WNE_A_23_B_2.pdb,3FWV_B_23_D_2.pdb,3ESK_A_23_B_2.pdb,1ELW_B_23_D_2.pdb,4AM9_A_23_B_1.pdb,4WNE_A_23_B_1.pdb,4APO_B_23_D_1.pdb,3Q47_B_23_C_1.pdb,3FWV_B_23_D_1.pdb,4AIF_B_23_E_1.pdb,3ESK_A_23_B_1.pdb,4WNG_A_23_B_2.pdb,4GYY_C_23_D_3.pdb,4WND_A_23_B_2.pdb,4N39_A_23_B_2.pdb,3CVN_A_23_B_2.pdb,4A1S_A_23_C_1.pdb,3UPV_A_23_B_1.pdb,3CV0_A_23_B_1.pdb,4WND_A_23_B_1.pdb,3RO3_A_23_B_1.pdb,3CVL_A_23_B_2.pdb,4G2V_A_23_B_1.pdb,3CVP_A_23_B_2.pdb,4GYO_B_23_C_2.pdb,4N3B_A_23_B_2.pdb,3RO2_A_23_B_2.pdb,4N3A_A_23_B_1.pdb
4WNE_A_23_B_2.pdb,0.6825396825396826,0.8009259259259259,0.421957671957672,0.6884920634920635,0.9662698412698413,0.421957671957672,0.7916666666666666,0.6825396825396826,0.421957671957672,0.792989417989418,0.7936507936507936,0.7923280423280423,0.7982804232804233,0.7996031746031746,0.6785714285714286,0.8968253968253969,0.792989417989418,0.9543650793650794,0.7982804232804233,0.9629629629629629,1.0,0.7923280423280423,0.7982804232804233,0.7996031746031746,0.7936507936507936,1.0,0.7791005291005291,0.8009259259259259,0.7923280423280423,0.7824074074074074,0.7982804232804233,0.9662698412698413,0.43915343915343913,0.958994708994709,0.421957671957672,0.6792328042328042,0.8968253968253969,0.7936507936507936,0.6785714285714286,0.958994708994709,0.7916666666666666,0.6845238095238095,0.9629629629629629,0.6884920634920635,0.6984126984126984,0.421957671957672,0.9543650793650794,0.421957671957672
3FWV_B_23_D_2.pdb,0.8022486772486772,0.9212962962962963,0.546957671957672,0.8141534391534392,0.7896825396825397,0.546957671957672,0.9041005291005291,0.8022486772486772,0.546957671957672,0.9113756613756614,0.9126984126984127,0.9120370370370371,0.9814814814814815,0.9298941798941799,0.8009259259259259,0.7876984126984127,0.9113756613756614,0.791005291005291,0.9814814814814815,0.7956349206349206,0.7923280423280423,1.0,0.9814814814814815,0.9298941798941799,0.9126984126984127,0.7923280423280423,0.9041005291005291,0.9212962962962963,1.0,0.9067460317460317,0.9814814814814815,0.7896825396825397,0.5641534391534392,0.7903439153439153,0.546957671957672,0.8009259259259259,0.7876984126984127,0.921957671957672,0.8009259259259259,0.7903439153439153,0.9041005291005291,0.8062169312169312,0.7956349206349206,0.8141534391534392,0.7691798941798942,0.546957671957672,0.791005291005291,0.546957671957672
3ESK_A_23_B_2.pdb,0.8048941798941799,0.9252645502645502,0.548941798941799,0.8187830687830688,0.7943121693121693,0.548941798941799,0.9074074074074074,0.8048941798941799,0.548941798941799,0.9146825396825397,0.9166666666666666,0.9153439153439153,1.0,0.9358465608465608,0.8055555555555556,0.7923280423280423,0.9146825396825397,0.796957671957672,1.0,0.8015873015873016,0.7982804232804233,0.9814814814814815,1.0,0.9358465608465608,0.9166666666666666,0.7982804232804233,0.9074074074074074,0.9252645502645502,0.9814814814814815,0.9093915343915344,1.0,0.7943121693121693,0.5661375661375662,0.7956349206349206,0.548941798941799,0.8055555555555556,0.7923280423280423,0.9252645502645502,0.8055555555555556,0.7956349206349206,0.9074074074074074,0.8108465608465608,0.8015873015873016,0.8187830687830688,0.7724867724867724,0.548941798941799,0.796957671957672,0.548941798941799
1ELW_B_23_D_2.pdb,0.8115079365079365,0.9285714285714286,0.5522486772486772,0.8234126984126984,0.7962962962962963,0.5522486772486772,0.908068783068783,0.8115079365079365,0.5522486772486772,0.921957671957672,0.921957671957672,0.9252645502645502,0.9358465608465608,1.0,0.8101851851851852,0.798941798941799,0.921957671957672,0.7982804232804233,0.9358465608465608,0.8029100529100529,0.7996031746031746,0.9298941798941799,0.9358465608465608,1.0,0.921957671957672,0.7996031746031746,0.91005291005291,0.9285714285714286,0.9298941798941799,0.9146825396825397,0.9358465608465608,0.7962962962962963,0.5701058201058201,0.796957671957672,0.5522486772486772,0.8088624338624338,0.798941798941799,0.9345238095238095,0.8101851851851852,0.796957671957672,0.908068783068783,0.8141534391534392,0.8029100529100529,0.8234126984126984,0.7705026455026455,0.5522486772486772,0.7982804232804233,0.5522486772486772
4AM9_A_23_B_1.pdb,0.8095238095238095,0.9232804232804233,0.5456349206349206,0.8207671957671958,0.7896825396825397,0.5456349206349206,0.9007936507936508,0.8095238095238095,0.5456349206349206,0.9556878306878307,1.0,0.9556878306878307,0.9166666666666666,0.921957671957672,0.8095238095238095,0.792989417989418,0.9556878306878307,0.7923280423280423,0.9166666666666666,0.7976190476190477,0.7936507936507936,0.9126984126984127,0.9166666666666666,0.921957671957672,1.0,0.7936507936507936,0.9054232804232805,0.9232804232804233,0.9126984126984127,0.9074074074074074,0.9166666666666666,0.7896825396825397,0.5628306878306878,0.791005291005291,0.5456349206349206,0.8075396825396826,0.792989417989418,0.923941798941799,0.8095238095238095,0.791005291005291,0.9007936507936508,0.8141534391534392,0.7976190476190477,0.8207671957671958,0.7671957671957672,0.5456349206349206,0.7923280423280423,0.5456349206349206
4WNE_A_23_B_1.pdb,0.6825396825396826,0.8009259259259259,0.421957671957672,0.6884920634920635,0.9662698412698413,0.421957671957672,0.7916666666666666,0.6825396825396826,0.421957671957672,0.792989417989418,0.7936507936507936,0.7923280423280423,0.7982804232804233,0.7996031746031746,0.6785714285714286,0.8968253968253969,0.792989417989418,0.9543650793650794,0.7982804232804233,0.9629629629629629,1.0,0.7923280423280423,0.7982804232804233,0.7996031746031746,0.7936507936507936,1.0,0.7791005291005291,0.8009259259259259,0.7923280423280423,0.7824074074074074,0.7982804232804233,0.9662698412698413,0.43915343915343913,0.958994708994709,0.421957671957672,0.6792328042328042,0.8968253968253969,0.7936507936507936,0.6785714285714286,0.958994708994709,0.7916666666666666,0.6845238095238095,0.9629629629629629,0.6884920634920635,0.6984126984126984,0.421957671957672,0.9543650793650794,0.421957671957672
4APO_B_23_D_1.pdb,0.7876984126984127,0.9146825396825397,0.53505291005291,0.8029100529100529,0.7764550264550265,0.53505291005291,0.8869047619047619,0.7876984126984127,0.53505291005291,0.9021164021164021,0.9054232804232805,0.9001322751322751,0.9074074074074074,0.91005291005291,0.791005291005291,0.7784391534391535,0.9021164021164021,0.7784391534391535,0.9074074074074074,0.783068783068783,0.7791005291005291,0.9041005291005291,0.9074074074074074,0.91005291005291,0.9054232804232805,0.7791005291005291,1.0,0.9146825396825397,0.9041005291005291,0.9748677248677249,0.9074074074074074,0.7764550264550265,0.5522486772486772,0.7771164021164021,0.53505291005291,0.7903439153439153,0.7784391534391535,0.9067460317460317,0.791005291005291,0.7771164021164021,0.8869047619047619,0.7962962962962963,0.783068783068783,0.8029100529100529,0.753968253968254,0.53505291005291,0.7784391534391535,0.53505291005291
3Q47_B_23_C_1.pdb,0.8128306878306878,1.0,0.5562169312169312,0.8247354497354498,0.798941798941799,0.5562169312169312,0.9027777777777778,0.8128306878306878,0.5562169312169312,0.9226190476190477,0.9232804232804233,0.921957671957672,0.9252645502645502,0.9285714285714286,0.8141534391534392,0.7982804232804233,0.9226190476190477,0.8015873015873016,0.9252645502645502,0.8048941798941799,0.8009259259259259,0.9212962962962963,0.9252645502645502,0.9285714285714286,0.9232804232804233,0.8009259259259259,0.9146825396825397,1.0,0.9212962962962963,0.916005291005291,0.9252645502645502,0.798941798941799,0.5727513227513228,0.8002645502645502,0.5562169312169312,0.8134920634920635,0.7982804232804233,0.9338624338624338,0.8141534391534392,0.8002645502645502,0.9027777777777778,0.8201058201058201,0.8048941798941799,0.8247354497354498,0.7705026455026455,0.5562169312169312,0.8015873015873016,0.5562169312169312
3FWV_B_23_D_1.pdb,0.8022486772486772,0.9212962962962963,0.546957671957672,0.8141534391534392,0.7896825396825397,0.546957671957672,0.9041005291005291,0.8022486772486772,0.546957671957672,0.9113756613756614,0.9126984126984127,0.9120370370370371,0.9814814814814815,0.9298941798941799,0.8009259259259259,0.7876984126984127,0.9113756613756614,0.791005291005291,0.9814814814814815,0.7956349206349206,0.7923280423280423,1.0,0.9814814814814815,0.9298941798941799,0.9126984126984127,0.7923280423280423,0.9041005291005291,0.9212962962962963,1.0,0.9067460317460317,0.9814814814814815,0.7896825396825397,0.5641534391534392,0.7903439153439153,0.546957671957672,0.8009259259259259,0.7876984126984127,0.921957671957672,0.8009259259259259,0.7903439153439153,0.9041005291005291,0.8062169312169312,0.7956349206349206,0.8141534391534392,0.7691798941798942,0.546957671957672,0.791005291005291,0.546957671957672
4AIF_B_23_E_1.pdb,0.7916666666666666,0.916005291005291,0.5370370370370371,0.8082010582010583,0.7797619047619048,0.5370370370370371,0.8915343915343915,0.7916666666666666,0.5370370370370371,0.9034391534391535,0.9074074074074074,0.9041005291005291,0.9093915343915344,0.9146825396825397,0.794973544973545,0.7804232804232805,0.9034391534391535,0.781084656084656,0.9093915343915344,0.7863756613756614,0.7824074074074074,0.9067460317460317,0.9093915343915344,0.9146825396825397,0.9074074074074074,0.7824074074074074,0.9748677248677249,0.916005291005291,0.9067460317460317,1.0,0.9093915343915344,0.7797619047619048,0.5542328042328042,0.7797619047619048,0.5370370370370371,0.7956349206349206,0.7804232804232805,0.9113756613756614,0.794973544973545,0.7797619047619048,0.8915343915343915,0.7996031746031746,0.7863756613756614,0.8082010582010583,0.7585978835978836,0.5370370370370371,0.781084656084656,0.5370370370370371
3ESK_A_23_B_1.pdb,0.8048941798941799,0.9252645502645502,0.548941798941799,0.8187830687830688,0.7943121693121693,0.548941798941799,0.9074074074074074,0.8048941798941799,0.548941798941799,0.9146825396825397,0.9166666666666666,0.9153439153439153,1.0,0.9358465608465608,0.8055555555555556,0.7923280423280423,0.9146825396825397,0.796957671957672,1.0,0.8015873015873016,0.7982804232804233,0.9814814814814815,1.0,0.9358465608465608,0.9166666666666666,0.7982804232804233,0.9074074074074074,0.9252645502645502,0.9814814814814815,0.9093915343915344,1.0,0.7943121693121693,0.5661375661375662,0.7956349206349206,0.548941798941799,0.8055555555555556,0.7923280423280423,0.9252645502645502,0.8055555555555556,0.7956349206349206,0.9074074074074074,0.8108465608465608,0.8015873015873016,0.8187830687830688,0.7724867724867724,0.548941798941799,0.796957671957672,0.548941798941799
4WNG_A_23_B_2.pdb,0.6798941798941799,0.798941798941799,0.4193121693121693,0.6858465608465608,1.0,0.4193121693121693,0.7883597883597884,0.6798941798941799,0.4193121693121693,0.7903439153439153,0.7896825396825397,0.7896825396825397,0.7943121693121693,0.7962962962962963,0.6759259259259259,0.8948412698412699,0.7903439153439153,0.9523809523809523,0.7943121693121693,0.9603174603174603,0.9662698412698413,0.7896825396825397,0.7943121693121693,0.7962962962962963,0.7896825396825397,0.9662698412698413,0.7764550264550265,0.798941798941799,0.7896825396825397,0.7797619047619048,0.7943121693121693,1.0,0.4365079365079365,0.9563492063492064,0.4193121693121693,0.6759259259259259,0.8948412698412699,0.7903439153439153,0.6759259259259259,0.9563492063492064,0.7883597883597884,0.6812169312169312,0.9603174603174603,0.6858465608465608,0.6951058201058201,0.4193121693121693,0.9523809523809523,0.4193121693121693
4GYY_C_23_D_3.pdb,0.460978835978836,0.5727513227513228,0.9642857142857143,0.4775132275132275,0.4365079365079365,0.9642857142857143,0.5456349206349206,0.460978835978836,0.9642857142857143,0.5601851851851852,0.5628306878306878,0.5601851851851852,0.5661375661375662,0.5701058201058201,0.46494708994708994,0.43716931216931215,0.5601851851851852,0.43915343915343913,0.5661375661375662,0.44246031746031744,0.43915343915343913,0.5641534391534392,0.5661375661375662,0.5701058201058201,0.5628306878306878,0.43915343915343913,0.5522486772486772,0.5727513227513228,0.5641534391534392,0.5542328042328042,0.5661375661375662,0.4365079365079365,1.0,0.4384920634920635,0.9642857142857143,0.4642857142857143,0.43716931216931215,0.5654761904761905,0.46494708994708994,0.4384920634920635,0.5456349206349206,0.47023809523809523,0.44246031746031744,0.4775132275132275,0.4113756613756614,0.9642857142857143,0.43915343915343913,0.9642857142857143
4WND_A_23_B_2.pdb,0.6798941798941799,0.8002645502645502,0.4212962962962963,0.6865079365079365,0.9563492063492064,0.4212962962962963,0.7903439153439153,0.6798941798941799,0.4212962962962963,0.791005291005291,0.791005291005291,0.7903439153439153,0.7956349206349206,0.796957671957672,0.6765873015873016,0.8948412698412699,0.791005291005291,0.9484126984126984,0.7956349206349206,0.9576719576719577,0.958994708994709,0.7903439153439153,0.7956349206349206,0.796957671957672,0.791005291005291,0.958994708994709,0.7771164021164021,0.8002645502645502,0.7903439153439153,0.7797619047619048,0.7956349206349206,0.9563492063492064,0.4384920634920635,1.0,0.4212962962962963,0.6772486772486772,0.8948412698412699,0.791005291005291,0.6765873015873016,1.0,0.7903439153439153,0.6825396825396826,0.9576719576719577,0.6865079365079365,0.6957671957671958,0.4212962962962963,0.9484126984126984,0.4212962962962963
4N39_A_23_B_2.pdb,0.43452380952380953,0.5562169312169312,1.0,0.44907407407407407,0.4193121693121693,0.9543650793650794,0.5284391534391535,0.43452380952380953,0.9543650793650794,0.5436507936507936,0.5456349206349206,0.5436507936507936,0.548941798941799,0.5522486772486772,0.4365079365079365,0.419973544973545,0.5436507936507936,0.421957671957672,0.548941798941799,0.4252645502645503,0.421957671957672,0.546957671957672,0.548941798941799,0.5522486772486772,0.5456349206349206,0.421957671957672,0.53505291005291,0.5562169312169312,0.546957671957672,0.5370370370370371,0.548941798941799,0.4193121693121693,0.9642857142857143,0.4212962962962963,1.0,0.4365079365079365,0.419973544973545,0.5482804232804233,0.4365079365079365,0.4212962962962963,0.5284391534391535,0.4417989417989418,0.4252645502645503,0.44907407407407407,0.4021164021164021,0.9543650793650794,0.421957671957672,0.9543650793650794
3CVN_A_23_B_2.pdb,0.8630952380952381,0.8134920634920635,0.4365079365079365,0.9715608465608465,0.6759259259259259,0.44907407407407407,0.7870370370370371,0.8630952380952381,0.44907407407407407,0.8062169312169312,0.8075396825396826,0.8062169312169312,0.8055555555555556,0.8088624338624338,0.9656084656084656,0.6759259259259259,0.8062169312169312,0.6759259259259259,0.8055555555555556,0.6825396825396826,0.6792328042328042,0.8009259259259259,0.8055555555555556,0.8088624338624338,0.8075396825396826,0.6792328042328042,0.7903439153439153,0.8134920634920635,0.8009259259259259,0.7956349206349206,0.8055555555555556,0.6759259259259259,0.4642857142857143,0.6772486772486772,0.4365079365079365,1.0,0.6759259259259259,0.8121693121693122,0.9656084656084656,0.6772486772486772,0.7870370370370371,0.9537037037037037,0.6825396825396826,0.9715608465608465,0.6554232804232805,0.44907407407407407,0.6759259259259259,0.44907407407407407
4A1S_A_23_C_1.pdb,0.6798941798941799,0.7982804232804233,0.419973544973545,0.6858465608465608,0.8948412698412699,0.419973544973545,0.7883597883597884,0.6798941798941799,0.419973544973545,0.7923280423280423,0.792989417989418,0.7916666666666666,0.7923280423280423,0.798941798941799,0.6759259259259259,1.0,0.7923280423280423,0.9007936507936508,0.7923280423280423,0.8988095238095238,0.8968253968253969,0.7876984126984127,0.7923280423280423,0.798941798941799,0.792989417989418,0.8968253968253969,0.7784391534391535,0.7982804232804233,0.7876984126984127,0.7804232804232805,0.7923280423280423,0.8948412698412699,0.43716931216931215,0.8948412698412699,0.419973544973545,0.6759259259259259,1.0,0.7916666666666666,0.6759259259259259,0.8948412698412699,0.7883597883597884,0.6825396825396826,0.8988095238095238,0.6858465608465608,0.6964285714285714,0.419973544973545,0.9007936507936508,0.419973544973545
3UPV_A_23_B_1.pdb,0.8134920634920635,0.9338624338624338,0.5482804232804233,0.8253968253968254,0.7903439153439153,0.5482804232804233,0.9034391534391535,0.8134920634920635,0.5482804232804233,0.9232804232804233,0.923941798941799,0.9246031746031746,0.9252645502645502,0.9345238095238095,0.8161375661375662,0.7916666666666666,0.9232804232804233,0.792989417989418,0.9252645502645502,0.7976190476190477,0.7936507936507936,0.921957671957672,0.9252645502645502,0.9345238095238095,0.923941798941799,0.7936507936507936,0.9067460317460317,0.9338624338624338,0.921957671957672,0.9113756613756614,0.9252645502645502,0.7903439153439153,0.5654761904761905,0.791005291005291,0.5482804232804233,0.8121693121693122,0.7916666666666666,1.0,0.8161375661375662,0.791005291005291,0.9034391534391535,0.8187830687830688,0.7976190476190477,0.8253968253968254,0.7718253968253969,0.5482804232804233,0.792989417989418,0.5482804232804233
3CV0_A_23_B_1.pdb,0.8657407407407407,0.8141534391534392,0.4365079365079365,0.9841269841269841,0.6759259259259259,0.44907407407407407,0.7890211640211641,0.8657407407407407,0.44907407407407407,0.8075396825396826,0.8095238095238095,0.8088624338624338,0.8055555555555556,0.8101851851851852,1.0,0.6759259259259259,0.8075396825396826,0.6772486772486772,0.8055555555555556,0.6818783068783069,0.6785714285714286,0.8009259259259259,0.8055555555555556,0.8101851851851852,0.8095238095238095,0.6785714285714286,0.791005291005291,0.8141534391534392,0.8009259259259259,0.794973544973545,0.8055555555555556,0.6759259259259259,0.46494708994708994,0.6765873015873016,0.4365079365079365,0.9656084656084656,0.6759259259259259,0.8161375661375662,1.0,0.6765873015873016,0.7890211640211641,0.9464285714285714,0.6818783068783069,0.9841269841269841,0.6567460317460317,0.44907407407407407,0.6772486772486772,0.44907407407407407
4WND_A_23_B_1.pdb,0.6798941798941799,0.8002645502645502,0.4212962962962963,0.6865079365079365,0.9563492063492064,0.4212962962962963,0.7903439153439153,0.6798941798941799,0.4212962962962963,0.791005291005291,0.791005291005291,0.7903439153439153,0.7956349206349206,0.796957671957672,0.6765873015873016,0.8948412698412699,0.791005291005291,0.9484126984126984,0.7956349206349206,0.9576719576719577,0.958994708994709,0.7903439153439153,0.7956349206349206,0.796957671957672,0.791005291005291,0.958994708994709,0.7771164021164021,0.8002645502645502,0.7903439153439153,0.7797619047619048,0.7956349206349206,0.9563492063492064,0.4384920634920635,1.0,0.4212962962962963,0.6772486772486772,0.8948412698412699,0.791005291005291,0.6765873015873016,1.0,0.7903439153439153,0.6825396825396826,0.9576719576719577,0.6865079365079365,0.6957671957671958,0.4212962962962963,0.9484126984126984,0.4212962962962963
3RO3_A_23_B_1.pdb,0.7903439153439153,0.9027777777777778,0.5284391534391535,0.8002645502645502,0.7883597883597884,0.5284391534391535,1.0,0.7903439153439153,0.5284391534391535,0.9021164021164021,0.9007936507936508,0.9027777777777778,0.9074074074074074,0.908068783068783,0.7890211640211641,0.7883597883597884,0.9021164021164021,0.7883597883597884,0.9074074074074074,0.792989417989418,0.7916666666666666,0.9041005291005291,0.9074074074074074,0.908068783068783,0.9007936507936508,0.7916666666666666,0.8869047619047619,0.9027777777777778,0.9041005291005291,0.8915343915343915,0.9074074074074074,0.7883597883597884,0.5456349206349206,0.7903439153439153,0.5284391534391535,0.7870370370370371,0.7883597883597884,0.9034391534391535,0.7890211640211641,0.7903439153439153,1.0,0.7936507936507936,0.792989417989418,0.8002645502645502,0.7552910052910053,0.5284391534391535,0.7883597883597884,0.5284391534391535
3CVL_A_23_B_2.pdb,0.8518518518518519,0.8201058201058201,0.4417989417989418,0.953042328042328,0.6812169312169312,0.45436507936507936,0.7936507936507936,0.8518518518518519,0.45436507936507936,0.8121693121693122,0.8141534391534392,0.8121693121693122,0.8108465608465608,0.8141534391534392,0.9464285714285714,0.6825396825396826,0.8121693121693122,0.6818783068783069,0.8108465608465608,0.6878306878306878,0.6845238095238095,0.8062169312169312,0.8108465608465608,0.8141534391534392,0.8141534391534392,0.6845238095238095,0.7962962962962963,0.8201058201058201,0.8062169312169312,0.7996031746031746,0.8108465608465608,0.6812169312169312,0.47023809523809523,0.6825396825396826,0.4417989417989418,0.9537037037037037,0.6825396825396826,0.8187830687830688,0.9464285714285714,0.6825396825396826,0.7936507936507936,1.0,0.6878306878306878,0.953042328042328,0.6626984126984127,0.45436507936507936,0.6818783068783069,0.45436507936507936
4G2V_A_23_B_1.pdb,0.6858465608465608,0.8048941798941799,0.4252645502645503,0.6917989417989417,0.9603174603174603,0.4252645502645503,0.792989417989418,0.6858465608465608,0.4252645502645503,0.7962962962962963,0.7976190476190477,0.7956349206349206,0.8015873015873016,0.8029100529100529,0.6818783068783069,0.8988095238095238,0.7962962962962963,0.9556878306878307,0.8015873015873016,1.0,0.9629629629629629,0.7956349206349206,0.8015873015873016,0.8029100529100529,0.7976190476190477,0.9629629629629629,0.783068783068783,0.8048941798941799,0.7956349206349206,0.7863756613756614,0.8015873015873016,0.9603174603174603,0.44246031746031744,0.9576719576719577,0.4252645502645503,0.6825396825396826,0.8988095238095238,0.7976190476190477,0.6818783068783069,0.9576719576719577,0.792989417989418,0.6878306878306878,1.0,0.6917989417989417,0.7017195767195767,0.4252645502645503,0.9556878306878307,0.4252645502645503
3CVP_A_23_B_2.pdb,0.8716931216931217,0.8247354497354498,0.44907407407407407,1.0,0.6858465608465608,0.46164021164021163,0.8002645502645502,0.8716931216931217,0.46164021164021163,0.8174603174603174,0.8207671957671958,0.8187830687830688,0.8187830687830688,0.8234126984126984,0.9841269841269841,0.6858465608465608,0.8174603174603174,0.6871693121693122,0.8187830687830688,0.6917989417989417,0.6884920634920635,0.8141534391534392,0.8187830687830688,0.8234126984126984,0.8207671957671958,0.6884920634920635,0.8029100529100529,0.8247354497354498,0.8141534391534392,0.8082010582010583,0.8187830687830688,0.6858465608465608,0.4775132275132275,0.6865079365079365,0.44907407407407407,0.9715608465608465,0.6858465608465608,0.8253968253968254,0.9841269841269841,0.6865079365079365,0.8002645502645502,0.953042328042328,0.6917989417989417,1.0,0.6673280423280423,0.46164021164021163,0.6871693121693122,0.46164021164021163
4GYO_B_23_C_2.pdb,0.6554232804232805,0.7705026455026455,0.4021164021164021,0.6673280423280423,0.6951058201058201,0.3948412698412698,0.7552910052910053,0.6554232804232805,0.3948412698412698,0.7658730158730159,0.7671957671957672,0.7671957671957672,0.7724867724867724,0.7705026455026455,0.6567460317460317,0.6964285714285714,0.7658730158730159,0.6977513227513228,0.7724867724867724,0.7017195767195767,0.6984126984126984,0.7691798941798942,0.7724867724867724,0.7705026455026455,0.7671957671957672,0.6984126984126984,0.753968253968254,0.7705026455026455,0.7691798941798942,0.7585978835978836,0.7724867724867724,0.6951058201058201,0.4113756613756614,0.6957671957671958,0.4021164021164021,0.6554232804232805,0.6964285714285714,0.7718253968253969,0.6567460317460317,0.6957671957671958,0.7552910052910053,0.6626984126984127,0.7017195767195767,0.6673280423280423,1.0,0.3948412698412698,0.6977513227513228,0.3948412698412698
4N3B_A_23_B_2.pdb,0.44642857142857145,0.5562169312169312,0.9543650793650794,0.46164021164021163,0.4193121693121693,1.0,0.5284391534391535,0.44642857142857145,0.9775132275132276,0.542989417989418,0.5456349206349206,0.542989417989418,0.548941798941799,0.5522486772486772,0.44907407407407407,0.419973544973545,0.542989417989418,0.421957671957672,0.548941798941799,0.4252645502645503,0.421957671957672,0.546957671957672,0.548941798941799,0.5522486772486772,0.5456349206349206,0.421957671957672,0.53505291005291,0.5562169312169312,0.546957671957672,0.5370370370370371,0.548941798941799,0.4193121693121693,0.9642857142857143,0.4212962962962963,0.9543650793650794,0.44907407407407407,0.419973544973545,0.5482804232804233,0.44907407407407407,0.4212962962962963,0.5284391534391535,0.45436507936507936,0.4252645502645503,0.46164021164021163,0.3948412698412698,1.0,0.421957671957672,0.9775132275132276
3RO2_A_23_B_2.pdb,0.6812169312169312,0.8015873015873016,0.421957671957672,0.6871693121693122,0.9523809523809523,0.421957671957672,0.7883597883597884,0.6812169312169312,0.421957671957672,0.7916666666666666,0.7923280423280423,0.7916666666666666,0.796957671957672,0.7982804232804233,0.6772486772486772,0.9007936507936508,0.7916666666666666,1.0,0.796957671957672,0.9556878306878307,0.9543650793650794,0.791005291005291,0.796957671957672,0.7982804232804233,0.7923280423280423,0.9543650793650794,0.7784391534391535,0.8015873015873016,0.791005291005291,0.781084656084656,0.796957671957672,0.9523809523809523,0.43915343915343913,0.9484126984126984,0.421957671957672,0.6759259259259259,0.9007936507936508,0.792989417989418,0.6772486772486772,0.9484126984126984,0.7883597883597884,0.6818783068783069,0.9556878306878307,0.6871693121693122,0.6977513227513228,0.421957671957672,1.0,0.421957671957672
4N3A_A_23_B_1.pdb,0.44642857142857145,0.5562169312169312,0.9543650793650794,0.46164021164021163,0.4193121693121693,0.9775132275132276,0.5284391534391535,0.44642857142857145,1.0,0.542989417989418,0.5456349206349206,0.542989417989418,0.548941798941799,0.5522486772486772,0.44907407407407407,0.419973544973545,0.542989417989418,0.421957671957672,0.548941798941799,0.4252645502645503,0.421957671957672,0.546957671957672,0.548941798941799,0.5522486772486772,0.5456349206349206,0.421957671957672,0.53505291005291,0.5562169312169312,0.546957671957672,0.5370370370370371,0.548941798941799,0.4193121693121693,0.9642857142857143,0.4212962962962963,0.9543650793650794,0.44907407407407407,0.419973544973545,0.5482804232804233,0.44907407407407407,0.4212962962962963,0.5284391534391535,0.45436507936507936,0.4252645502645503,0.46164021164021163,0.3948412698412698,0.9775132275132276,0.421957671957672,1.0
